
1,"home1",609059,3452,672,417
2,"home2",592728,4221,705,295
3,"home3",215481,3731,881,405
4,"home4",1169440,2039,836,306
5,"home5",1230932,3764,744,375
6,"home6",1269724,3965,889,147
7,"home7",1453216,3409,874,350
8,"home8",614172,3563,434,399
9,"home9",861474,3620,706,174
10,"home10",950679,4117,688,245
11,"home11",858908,2476,831,146
12,"home12",1134794,1550,755,395
13,"home13",967251,4129,578,349
14,"home14",1344221,4340,781,203
15,"home15",1043466,2567,879,267
16,"home16",636645,2606,720,123
17,"home17",1280197,2837,950,390
18,"home18",1485605,1698,557,167
19,"home19",935826,3534,849,275
20,"home20",1005465,3841,522,492
21,"home21",423016,2311,449,399
22,"home22",443553,2113,828,197
23,"home23",1475795,3200,860,299
24,"home24",927868,2240,982,155
25,"home25",855461,2780,964,395
26,"home26",932371,3381,804,198
27,"home27",245494,4301,545,345
28,"home28",1331290,3288,445,317
29,"home29",401960,4414,847,195
30,"home30",1260525,1711,733,255
31,"home31",1083971,2979,629,150
32,"home32",756699,4318,843,477
33,"home33",1318299,3253,966,119
34,"home34",1078287,4536,721,335
35,"home35",653615,3200,566,364
36,"home36",656515,4191,980,426
37,"home37",774468,1856,481,389
38,"home38",430328,1932,922,362
39,"home39",664831,4501,530,496
40,"home40",253728,2966,880,341
41,"home41",283197,4949,810,362
42,"home42",929710,2143,622,126
43,"home43",373599,4478,838,242
44,"home44",378926,2957,823,483
45,"home45",1426004,3326,415,406
46,"home46",718723,4502,444,371
47,"home47",1190393,1563,871,435
48,"home48",319458,1187,935,139
49,"home49",380403,4464,902,335
50,"home50",679896,1186,717,141
51,"home51",761428,2436,652,175
52,"home52",404738,2904,733,462
53,"home53",884551,3775,999,337
54,"home54",286164,3111,606,428
55,"home55",333542,4624,465,310
56,"home56",1149137,2414,615,178
57,"home57",200910,2330,472,362
58,"home58",342735,2323,807,385
59,"home59",783124,4977,718,268
60,"home60",1314682,2316,864,345
61,"home61",813753,3936,486,345
62,"home62",918693,3304,552,285
63,"home63",668366,4315,677,160
